run,molecule_id,image_name,image_path,mask_path,dia,flow_threshold,cellprob_threshold,blur,n_objects,area_mean,area_median,area_std,area_q25,area_q75,eccentricity_mean,solidity_mean,major_axis_mean,minor_axis_mean,mean_intensity_mean,skel_len,skel_branch_pts,skel_end_pts,glcm_contrast,glcm_correlation,glcm_energy,glcm_homogeneity,glcm_ASM,lbp_mean,lbp_var,lbp_entropy,gabor_f0.1_t0_mean,gabor_f0.1_t0_std,gabor_f0.2_t0_mean,gabor_f0.2_t0_std,radial_ps_mean,radial_ps_std,radial_ps_q25,radial_ps_q50,radial_ps_q75
11,157,157_3.png,content/157/157_3.png,masks/157/157__157_3__run0011.png,10,0.4,0.0,0.0,56,1510.9464285714287,1368.5,1094.5934973087724,651.25,2042.75,0.7748568622759355,0.9072348521280433,58.506279131656875,32.672880678864416,48.367831222135365,2997,164,143,,,,,,0.1666666666666668,0.05444754410705692,1.4105585368622433,0.2979567387513535,0.3090024817896781,0.1430389136786944,0.11921507489231632,29625380414.28614,128702251640.5788,1920010.84404628,3788013.2132712854,13101625.599435456
12,157,157_6.png,content/157/157_6.png,masks/157/157__157_6__run0012.png,10,0.4,0.0,0.0,57,1701.0526315789473,1120.0,1550.3119550254191,696.0,2154.0,0.7270630758183477,0.9222786147069626,56.70241669924419,34.401014029116034,68.0133873873213,3114,243,145,,,,,,0.1666666666666668,0.06167506964185243,1.3393944362388601,0.27421327182607697,0.3296938659650589,0.12176617208336563,0.12578990363522408,25804769084.18679,111922170638.79684,2692744.2783701257,4695860.774079077,19458417.55490484
13,160,160_1.png,content/160/160_1.png,masks/160/160__160_1__run0013.png,10,0.4,0.0,0.0,230,1474.6782608695653,1097.0,1341.9095762677373,497.0,2055.25,0.7470779478587602,0.8679316089761968,59.12272943285156,32.68619494017677,51.33742936050321,13643,929,668,,,,,,0.16666666666666677,0.04692868622553065,1.510467732521562,0.6295293302271808,0.5400246280370049,0.23478509338156564,0.2007577617281725,8081676119.040233,33997016202.324417,634929.5844847119,4276666.976974409,26291604.253590908
14,160,160_4.png,content/160/160_4.png,masks/160/160__160_4__run0014.png,10,0.4,0.0,0.0,41,2875.0,2378.0,2576.7466115239195,995.0,3192.0,0.6618358502439168,0.9311113129602145,71.5064017653114,47.87111363381271,84.3713002190117,2885,410,109,,,,,,0.1666666666666668,0.05260554577398591,1.3978721419882991,0.20808891113442718,0.20868029615105071,0.11159144374944502,0.0795724148824925,17093560900.182583,74123857102.46823,1625253.2781381123,3089137.885799843,13064388.212464115
15,160,160_6.png,content/160/160_6.png,masks/160/160__160_6__run0015.png,10,0.4,0.0,0.0,33,1723.6363636363637,1243.0,1346.953479573947,685.0,2473.0,0.6975798833479507,0.9494560711015081,55.784690219119376,36.17769210070458,54.80043790419444,1417,156,80,,,,,,0.1666666666666668,0.07175248033601973,1.2034750305628896,0.13493329043064578,0.21699596912630062,0.07978494466197372,0.07244864835627012,10783555727.521976,46755836937.086845,850929.0152164205,2423371.0581059214,9938417.863340672
16,165,165_1.png,content/165/165_1.png,masks/165/165__165_1__run0016.png,10,0.4,0.0,0.0,67,1135.0149253731342,988.0,861.6237576656403,568.0,1368.5,0.7258473810069559,0.9458333877548776,47.376585697100296,29.108965566765328,87.87989393321111,2112,98,154,,,,,,0.16666666666666677,0.04260013348923378,1.563449898154244,0.9627431589947537,1.031654511944836,0.3760508865062278,0.43910919333954973,18048526275.41532,75848982505.77922,1944469.5494032719,14813811.783737916,59851005.539803855
17,165,165_3.png,content/165/165_3.png,masks/165/165__165_3__run0017.png,10,0.4,0.0,0.0,6,1372.1666666666667,1308.0,1226.3321600066868,754.5,1389.0,0.8103698968671521,0.9169004122170197,54.246030026771315,29.199329644748634,68.58971299549569,381,40,24,,,,,,0.1666666666666669,0.12270543345958836,0.6959957733597746,0.15424949600480975,0.4358728412174877,0.07156591077111477,0.13734660538938762,10436469099.114279,44950048241.26523,966641.7729289718,4215163.591560014,15378975.382941533
18,165,165_6.png,content/165/165_6.png,masks/165/165__165_6__run0018.png,10,0.4,0.0,0.0,38,1229.342105263158,1106.0,692.2519177573229,749.75,1469.5,0.7252883454439882,0.9568166124579748,48.09612377347979,31.269551535326944,105.41641106368203,1153,53,83,,,,,,0.1666666666666668,0.06243394930111733,1.3188723256157997,0.3045648750884775,0.43861859334967657,0.11944737453271892,0.1355683365827363,25442470033.647385,109637994163.2412,2695292.3753078086,6323175.030661838,28712939.827471793
19,169,169_2.png,content/169/169_2.png,masks/169/169__169_2__run0019.png,10,0.4,0.0,0.0,38,176.8684210526316,147.5,105.58182968485491,97.5,256.5,0.6718075414808391,0.9447469668717526,17.78719329962744,12.098440042088058,138.0565032068639,311,3,75,,,,,,0.16666666666666677,0.04372964241216936,1.5114457185633337,0.38080940401379854,0.32903428942335405,0.22404821665498525,0.16108884114105237,25850230458.19498,112180900416.85292,3062142.713361506,6285149.60912033,25864791.55037275
20,169,169_4.png,content/169/169_4.png,masks/169/169__169_4__run0020.png,10,0.4,0.0,0.0,22,910.1363636363636,891.5,558.6749881856557,566.75,1047.0,0.7533098106296916,0.940635897660254,41.8566005458824,26.405817793361827,48.19937661788358,609,18,48,,,,,,0.1666666666666668,0.0566891581573955,1.377888047210925,0.15428347421200003,0.1395131447954558,0.09162772069533676,0.06057834379745619,5504553138.13003,23886470556.61942,622919.7557696074,1431382.918313546,5700606.861777399
21,169,169_5.png,content/169/169_5.png,masks/169/169__169_5__run0021.png,10,0.4,0.0,0.0,47,1995.6808510638298,1040.0,2399.4650591002023,729.0,2345.5,0.7119745536888247,0.909652523960566,62.87342636141342,38.0214155923836,68.63886850265393,3176,298,132,,,,,,0.16666666666666677,0.048853631804781396,1.4760108570229207,0.34707216211921943,0.3316033412070962,0.1742951242944796,0.13781821207867134,7820818585.45458,33706151307.553406,843092.7435055987,3829493.2138028434,14628574.92430867
22,170,170_1.png,content/170/170_1.png,masks/170/170__170_1__run0022.png,10,0.4,0.0,0.0,22,113.27272727272727,118.5,65.92360789521518,60.75,141.0,0.5646197803204973,0.9610329436856057,13.002547507928428,10.409447864872625,85.11518229719387,90,0,40,,,,,,0.16666666666666677,0.05632865327202645,1.3727500359288842,0.20911561224688258,0.20835486383927604,0.1370157552844494,0.08619838685301566,27682562723.001442,120366880503.77249,1813859.6716918263,3293339.381477004,13091485.20340187
23,170,170_4.png,content/170/170_4.png,masks/170/170__170_4__run0023.png,10,0.4,0.0,0.0,91,2028.6483516483515,927.0,3873.8846864431007,524.5,2020.5,0.7690509007037981,0.919696245368297,59.734029437565106,34.68582954822141,30.575016337848087,6739,704,262,,,,,,0.11111111111111112,0.013960702394214677,1.8117266387346558,0.5108755944856511,0.4309254047613905,0.13457808747727434,0.0959040806275675,1506608993.3234448,6091889273.010205,124154.17553875259,231873.83958282706,948812.3991497526
24,170,170_6.png,content/170/170_6.png,masks/170/170__170_6__run0024.png,10,0.4,0.0,0.0,64,1828.375,1732.5,1053.2126588500087,844.75,2551.75,0.725030136331011,0.9548354536958132,60.220299078240544,37.49304862868152,26.601680390213616,3107,195,175,,,,,,0.11111111111111112,0.018548060113028408,1.67341243990923,0.7120106505149851,0.8381201690586382,0.16763735611395464,0.16341615137493426,7016775122.81369,28099979496.06301,197558.0935618815,1010677.5139968855,5170688.437361815
25,175,175_1.png,content/175/175_1.png,masks/175/175__175_1__run0025.png,10,0.4,0.0,0.0,343,1146.6909620991253,651.0,1378.7960818085012,333.0,1397.0,0.7359569200515577,0.9260785731857055,46.56667324906282,27.15320836095985,92.7962494938725,12375,773,840,,,,,,0.16666666666666674,0.04385522639252796,1.5183914568446584,1.6763200193226104,1.5238468484344614,0.8720728189851464,0.9204534461463801,11006972163.241404,45566588955.054245,1311908.6911160715,14498281.814144442,49235923.15432913
26,175,175_5.png,content/175/175_5.png,masks/175/175__175_5__run0026.png,10,0.4,0.0,0.0,141,1910.6382978723404,1341.0,1697.3579775496291,642.0,2731.0,0.7122569142472954,0.931636992829451,60.10085612026183,36.754509843429055,121.52296532695722,6694,449,358,,,,,,0.16666666666666677,0.04385519964378351,1.5222972298955368,0.981145855429964,1.1422751653386358,0.3709069805599105,0.42141486489630536,41204390532.48711,176829376922.6719,4167042.152344197,17791218.37480248,62374088.56976708
27,175,175_6.png,content/175/175_6.png,masks/175/175__175_6__run0027.png,10,0.4,0.0,0.0,209,1446.8277511961724,1091.0,1216.3891231977786,608.0,1914.0,0.7230136208402517,0.9418538090295888,52.2954631139261,32.45686420128657,68.47216442424362,7342,377,486,,,,,,0.16666666666666677,0.04704754797290267,1.5070660101161117,0.6048940189148275,0.539756889349039,0.5417413256070595,0.4568730462809268,4938715469.691582,21087309239.520157,624317.3776002644,4576850.222304627,18097643.017669965
